winside,d_1,d_2,d_3,d_4,d_5,r_1,r_2,r_3,r_4,r_5
radiant,6,26,45,54,59,27,57,68,63,11
dire,60,9,21,64,8,31,52,7,23,30
dire,34,69,59,30,64,22,41,2,10,28
radiant,6,60,2,22,5,8,17,29,21,73
dire,7,25,130,35,5,41,49,1,17,16
dire,8,18,37,68,60,7,10,40,25,36
radiant,30,40,31,7,27,32,14,60,39,66
radiant,7,41,9,42,14,23,5,11,28,68
radiant,53,11,42,67,13,2,32,45,8,6
radiant,11,54,27,19,4,28,5,57,10,14
dire,51,1,29,7,33,20,67,45,68,16
dire,47,31,35,60,59,20,21,73,10,28
dire,19,6,34,25,54,49,13,58,22,51
radiant,57,49,17,38,35,32,31,5,14,41
dire,21,31,49,20,67,22,40,26,29,9
dire,21,7,29,40,32,54,5,60,4,9
dire,65,63,23,53,69,9,38,64,25,18
radiant,50,41,61,26,7,1,51,67,21,22
dire,19,31,35,29,20,60,63,6,5,14
dire,6,66,59,25,9,31,22,16,41,51
radiant,22,19,45,4,7,32,40,42,14,26
radiant,32,10,53,42,63,59,64,28,6,47
dire,67,1,68,53,59,38,25,9,18,35
radiant,4,54,31,60,8,42,23,21,52,9
radiant,1,8,7,35,57,17,30,4,60,68
radiant,69,60,11,17,68,4,25,47,1,19
dire,14,6,41,4,32,35,53,25,15,73
dire,49,7,21,60,54,1,34,50,32,31
radiant,8,20,5,69,37,1,73,13,68,26
radiant,53,4,21,2,57,37,9,28,68,6
dire,20,2,53,47,32,37,1,17,60,26
radiant,39,73,4,32,42,33,38,41,20,8
radiant,66,1,5,28,16,51,53,41,20,4
radiant,18,38,35,49,20,67,9,29,8,15
dire,73,68,6,8,60,22,54,35,16,4
dire,69,15,65,33,11,67,49,10,26,52
radiant,1,7,40,42,32,73,47,49,27,25
radiant,9,1,14,5,32,55,39,23,36,60
dire,36,1,29,60,51,45,14,63,5,8
dire,54,47,20,51,40,23,4,10,39,52
dire,60,9,34,23,47,68,14,53,42,25
radiant,29,54,32,42,8,35,27,61,7,50
dire,13,54,31,41,69,17,1,68,59,32
dire,30,18,61,53,29,60,64,23,31,11
radiant,9,21,28,18,1,19,14,32,51,8
radiant,2,41,29,17,20,53,7,63,23,31
radiant,17,54,10,50,60,32,14,68,65,20
dire,54,5,15,45,61,19,9,29,35,30
radiant,64,28,17,25,61,31,21,34,59,32
radiant,19,20,51,63,68,28,54,4,42,53
dire,28,1,32,19,21,9,53,16,7,40
radiant,61,57,18,67,34,54,50,49,15,53
dire,26,14,10,34,28,21,16,7,39,63
radiant,55,10,4,19,42,7,6,52,8,28
dire,20,31,1,13,45,30,69,26,11,63
dire,73,17,60,1,64,29,68,28,47,59
dire,26,14,10,34,28,21,16,7,39,63
radiant,58,14,11,30,41,15,65,35,59,23
radiant,49,60,69,35,54,53,30,47,1,29
radiant,22,16,47,45,6,40,29,7,31,1
radiant,22,16,47,45,6,40,29,7,31,1
radiant,128,1,32,51,53,22,9,59,50,60
dire,18,42,29,57,4,73,45,54,36,49
dire,51,14,25,20,6,31,19,18,45,10
radiant,22,16,47,45,6,40,29,7,31,1
radiant,22,16,47,45,6,40,29,7,31,1
radiant,1,68,9,28,17,36,21,54,60,32
dire,4,13,69,60,53,58,49,31,39,63
dire,68,5,49,32,67,6,31,40,21,73
radiant,10,41,4,22,5,69,61,26,19,20
dire,68,5,49,32,67,6,31,40,21,73
radiant,26,35,13,19,16,39,31,9,8,68
radiant,30,16,9,38,63,61,28,31,35,39
dire,23,40,37,42,28,7,34,22,32,16
dire,16,30,38,19,52,40,37,60,18,28
radiant,25,19,73,41,50,58,16,32,13,9
radiant,1,59,52,28,27,21,20,32,22,37
dire,14,42,13,45,1,61,28,55,8,52
dire,26,1,14,28,5,38,30,32,45,8
dire,69,1,35,14,37,30,39,65,5,9
radiant,39,63,15,66,13,18,9,21,5,1
dire,1,60,6,66,53,16,25,17,28,18
dire,63,64,16,49,25,19,45,1,57,47
dire,26,40,49,27,4,21,47,58,38,53
dire,21,33,67,61,59,22,25,54,23,41
radiant,32,60,39,69,68,4,53,7,8,51
radiant,9,35,60,18,55,64,19,10,69,29
dire,40,25,30,50,54,19,32,63,2,4
radiant,47,14,20,61,21,16,69,63,31,6
dire,20,32,16,13,14,40,4,54,1,58
radiant,50,20,7,14,34,31,23,41,11,53
dire,52,68,61,42,54,17,26,59,6,60
radiant,6,18,1,45,26,27,33,63,60,28
radiant,26,63,7,69,58,34,22,53,27,29
dire,54,36,27,49,6,19,1,45,73,28
radiant,67,13,8,31,11,21,59,15,26,60
dire,58,4,63,20,21,68,13,28,53,1
radiant,63,20,69,50,27,28,31,1,53,26
radiant,20,5,4,65,68,21,14,9,54,27
radiant,15,68,32,14,2,41,30,19,6,34
radiant,11,52,73,68,7,34,61,38,20,25
dire,64,32,45,14,2,28,30,17,63,19
dire,2,54,29,45,4,1,65,38,49,63
dire,28,54,32,20,58,7,21,10,33,49
dire,58,50,2,35,28,14,13,63,32,59
radiant,36,5,49,35,18,14,54,47,31,58
radiant,54,51,15,41,36,50,19,47,2,8
dire,31,49,60,54,47,73,39,26,6,35
dire,17,7,45,11,40,50,4,36,59,15
dire,9,54,35,18,63,59,14,69,26,1
dire,35,22,60,50,29,4,40,47,16,13
dire,13,59,45,35,9,58,63,57,11,31
dire,15,63,36,55,29,18,5,32,66,60
dire,14,50,53,45,8,32,21,57,59,4
radiant,67,29,34,60,8,68,53,9,10,28
radiant,68,49,61,14,10,23,5,54,9,37
dire,31,57,27,61,1,19,32,10,11,55
dire,5,14,63,34,35,29,64,27,31,21
dire,49,5,25,19,1,32,16,26,50,10
dire,36,51,57,58,40,59,60,67,15,50
dire,55,59,50,11,68,6,52,40,14,57
radiant,23,7,9,39,57,27,63,54,50,2
dire,6,25,8,40,42,63,17,59,14,65
radiant,21,28,16,5,19,29,69,8,60,30
radiant,32,16,9,35,8,26,28,47,20,2
radiant,68,35,40,57,60,28,18,21,32,53
radiant,28,21,49,14,9,27,2,60,20,4
dire,7,40,68,1,29,19,69,21,37,41
dire,32,21,16,9,68,53,55,6,37,63
radiant,18,9,54,26,36,34,2,1,61,7
dire,19,13,47,54,9,17,22,18,42,29
radiant,42,59,52,7,68,64,16,5,14,41
radiant,17,52,23,11,28,54,50,21,14,64
radiant,53,59,11,19,27,52,15,73,61,5
dire,21,67,45,14,4,6,7,10,11,40
radiant,40,1,54,53,30,55,11,18,26,41
radiant,16,14,67,22,32,63,13,8,54,36
dire,54,6,8,9,29,34,40,53,52,69
dire,6,47,57,58,53,68,60,51,5,67
radiant,31,6,41,27,40,2,67,18,25,65
radiant,31,6,41,27,40,2,67,18,25,65
radiant,32,40,65,2,36,14,28,6,53,1
dire,21,36,16,47,10,6,23,60,19,13
radiant,31,6,41,27,40,2,67,18,25,65
radiant,31,6,41,27,40,2,67,18,25,65
radiant,31,6,41,27,40,2,67,18,25,65
dire,9,14,59,39,17,6,41,18,35,19
radiant,69,32,57,31,38,4,6,5,47,11
dire,16,54,50,51,21,60,14,31,11,69
dire,13,54,28,31,61,59,32,16,9,19
dire,8,18,7,21,35,15,2,17,54,42
dire,8,18,7,21,35,15,2,17,54,42
radiant,29,40,2,69,17,53,9,52,63,57
radiant,4,39,27,67,59,19,47,63,45,42
radiant,21,31,1,29,53,40,20,50,14,42
radiant,8,27,53,40,4,11,61,18,25,54
dire,21,29,17,38,4,25,9,6,14,58
radiant,42,35,58,18,16,34,59,2,54,6
dire,16,58,57,22,19,6,28,34,8,13
radiant,32,49,8,31,42,53,14,54,33,9
radiant,14,32,63,53,57,65,54,31,37,4
dire,17,69,35,52,28,19,4,73,5,63
radiant,9,64,34,51,49,20,32,59,50,18
dire,2,4,31,42,69,33,59,35,18,54
radiant,54,9,22,11,2,6,29,57,58,69
dire,35,27,29,19,20,52,6,63,2,16
radiant,51,54,15,14,53,29,21,1,6,13
radiant,6,8,59,22,1,32,54,57,16,14
radiant,60,1,7,49,27,35,18,14,68,53
radiant,47,26,15,69,1,2,6,28,32,33
radiant,1,68,60,28,33,35,5,14,8,27
dire,31,41,14,63,6,68,11,21,42,67
radiant,10,8,67,18,31,53,61,2,4,11
dire,9,19,26,59,14,16,1,53,6,5
radiant,21,5,9,11,73,60,59,53,68,1
radiant,42,37,65,11,30,9,32,59,19,35
radiant,69,35,21,18,54,59,32,50,13,14
radiant,67,10,59,4,47,2,42,21,1,6
radiant,68,23,14,20,47,54,45,25,32,37
dire,26,10,21,32,51,40,14,61,1,16
dire,67,29,39,32,68,19,17,52,5,54
radiant,33,60,41,14,67,42,29,21,5,4
radiant,29,35,1,27,5,9,57,17,58,25
radiant,32,64,60,11,9,23,22,14,1,26
radiant,18,21,22,51,53,32,17,6,23,1
radiant,68,8,17,15,16,34,20,54,38,66
dire,9,39,31,54,14,2,25,21,6,7
radiant,26,69,40,68,61,29,2,53,60,19
dire,50,14,21,4,61,42,9,23,47,17
dire,32,63,29,50,4,8,19,60,14,59
dire,32,63,29,50,4,8,19,60,14,59
dire,32,63,29,50,4,8,19,60,14,59
dire,32,63,29,50,4,8,19,60,14,59
dire,57,17,28,22,29,47,16,14,34,5
dire,32,63,29,50,4,8,19,60,14,59
dire,35,21,11,65,59,19,8,53,60,25
dire,13,5,34,59,1,35,68,26,9,67
dire,68,21,14,53,54,37,11,63,20,31
radiant,68,67,41,30,13,73,25,21,14,23
radiant,47,59,50,69,26,31,60,11,61,13
radiant,61,20,14,21,35,23,54,49,5,9
radiant,20,67,31,36,4,40,63,17,35,60
dire,21,38,42,15,47,9,68,31,54,19
dire,59,53,21,49,14,27,22,1,28,60
radiant,19,42,2,1,67,60,38,4,37,25
dire,54,2,27,1,53,32,14,6,68,4
radiant,2,35,14,59,54,4,16,15,37,20
radiant,7,55,47,25,41,63,9,29,38,11
dire,36,16,34,69,10,63,55,61,53,49
dire,53,61,54,32,55,37,10,28,29,1
radiant,35,8,27,14,63,60,55,32,16,1
radiant,7,73,41,35,42,57,16,67,19,60
dire,25,54,26,51,28,30,5,42,53,35
dire,8,9,18,49,53,16,10,2,32,34
dire,28,10,29,31,6,20,67,2,16,68
radiant,14,36,1,69,55,59,6,2,47,53
radiant,15,73,1,4,14,25,54,45,35,42
dire,37,8,47,6,50,52,1,16,4,20
dire,54,17,26,32,19,37,14,1,55,73
radiant,21,30,23,16,9,47,11,27,54,36
radiant,20,30,63,14,15,51,47,67,45,11
radiant,41,18,53,50,23,54,14,13,1,59
radiant,59,52,54,31,1,58,23,53,9,67
dire,27,4,10,15,35,22,32,49,1,7
radiant,9,16,68,60,41,42,15,36,53,26
dire,39,28,40,67,60,14,41,29,21,5
radiant,59,60,21,25,26,40,54,53,49,8
radiant,1,9,19,39,68,53,45,31,14,63
dire,20,40,7,1,6,9,25,16,29,14
dire,34,18,54,32,35,27,21,8,61,58
radiant,6,1,7,20,14,11,30,41,9,54
radiant,1,17,53,65,22,2,39,32,41,9
radiant,5,6,53,8,17,19,34,38,63,31
radiant,5,6,53,8,17,19,34,38,63,31
radiant,7,68,29,10,1,11,67,21,2,58
dire,45,25,17,32,42,11,21,30,68,28
radiant,5,6,53,8,17,19,34,38,63,31
dire,54,16,47,28,11,14,63,30,1,31
dire,8,14,16,20,36,22,59,7,53,63
radiant,5,63,49,57,32,60,1,58,40,31
radiant,69,6,64,9,36,35,29,21,39,57
dire,50,53,51,35,54,16,26,9,10,14
dire,7,68,37,14,35,69,47,16,28,25
dire,41,35,13,40,49,54,5,16,7,27
radiant,73,53,5,45,60,4,29,68,7,57
radiant,35,29,42,57,9,21,60,41,8,1
dire,33,1,27,69,40,21,18,55,50,10
dire,47,54,20,29,31,4,16,25,42,22
dire,54,50,10,14,58,26,11,19,5,7
dire,33,1,27,69,40,21,18,55,50,10
dire,33,1,27,69,40,21,18,55,50,10
dire,33,1,27,69,40,21,18,55,50,10
dire,53,2,6,16,49,35,42,52,60,51
dire,68,16,21,41,1,22,4,19,32,42
dire,60,57,15,26,10,16,47,41,31,37
radiant,28,21,22,20,40,34,5,47,6,41
radiant,57,21,63,66,18,67,9,14,45,69
dire,7,31,41,10,54,68,6,35,16,2
dire,34,18,57,47,67,63,8,32,68,19
radiant,14,35,21,47,65,59,28,58,40,8
dire,54,52,20,49,17,69,4,63,22,23
radiant,35,32,49,42,47,63,28,25,9,13
radiant,15,61,32,59,53,51,67,55,39,31
dire,51,53,9,54,17,4,33,57,38,30
dire,49,38,1,36,68,22,5,9,7,67
dire,67,6,2,28,10,1,58,47,21,32
radiant,59,2,53,68,41,13,23,60,25,32
radiant,26,42,29,60,17,39,1,41,32,2
radiant,4,38,22,60,1,7,2,66,32,42
dire,41,63,34,27,47,54,40,8,52,59
radiant,10,32,68,60,31,49,59,14,26,6
radiant,28,6,68,19,22,20,31,1,69,5
radiant,47,59,49,33,21,50,37,15,14,17
dire,11,40,1,14,7,39,18,6,54,27
dire,52,53,69,34,17,14,35,45,60,9
radiant,69,50,55,36,32,9,21,1,5,28
dire,10,20,42,19,53,57,63,69,39,23
radiant,23,32,59,21,39,11,42,37,22,8
dire,5,54,9,11,32,26,1,55,14,21
radiant,37,34,32,57,60,20,9,14,59,67
radiant,40,19,49,6,31,28,20,68,7,41
radiant,47,22,54,50,29,9,32,53,65,20
radiant,14,58,61,5,29,7,16,6,21,28
dire,22,30,51,15,54,21,49,50,27,8
dire,8,31,42,47,29,27,11,40,41,9
dire,67,18,21,9,34,25,55,35,59,1
dire,41,53,49,27,47,59,65,17,5,14
radiant,41,52,49,61,21,22,4,36,53,32
dire,51,61,37,40,68,14,21,2,54,66
radiant,69,39,68,5,4,35,16,21,6,41
radiant,20,45,59,54,7,8,19,21,32,25
dire,19,53,40,69,22,47,68,59,6,5
dire,15,69,30,51,54,23,73,8,53,13
dire,14,10,31,60,6,73,68,20,49,35
radiant,26,54,40,11,9,20,14,17,1,21
dire,22,35,38,54,18,53,1,31,29,10
radiant,4,64,41,42,73,51,14,36,37,54
dire,65,14,50,69,53,16,58,19,6,30
radiant,7,45,14,15,11,51,68,19,27,1
dire,31,18,9,55,42,10,61,30,26,27
radiant,22,20,17,35,63,49,34,15,54,42
radiant,6,45,23,42,16,19,21,41,20,7
dire,54,55,38,9,1,63,42,4,25,33
radiant,35,21,49,50,8,63,9,27,18,31
radiant,7,21,49,5,9,1,35,20,51,64
radiant,32,25,7,35,54,4,65,57,2,40
dire,49,37,17,73,59,51,19,33,9,53
dire,20,49,59,1,31,69,47,41,39,57
dire,14,30,60,26,67,38,4,42,61,59
radiant,25,33,19,9,20,29,41,42,32,17
radiant,35,41,60,45,61,4,59,2,25,29
dire,14,68,45,41,53,50,10,25,2,9
dire,60,45,20,69,22,14,1,35,42,31
radiant,54,18,45,47,35,1,11,5,73,8
dire,49,64,11,57,54,20,28,25,40,68
dire,30,31,9,29,61,19,22,55,16,20
radiant,54,17,13,9,21,59,47,14,8,53
dire,8,68,40,21,32,19,9,10,22,51
radiant,51,68,54,53,26,60,55,37,40,32
dire,59,29,32,54,22,14,7,39,8,27
dire,17,9,59,32,26,55,67,21,39,2
radiant,52,19,35,17,66,1,13,8,50,16
radiant,32,17,47,19,28,45,42,59,6,5
radiant,19,38,39,11,8,40,35,60,49,30
radiant,6,8,22,38,14,39,47,42,60,16
dire,17,15,16,26,8,73,1,49,34,31
dire,59,22,33,10,7,35,18,26,9,16
radiant,54,68,32,36,9,17,39,21,57,53
dire,6,34,1,30,26,53,27,19,11,10
radiant,4,67,69,11,33,34,18,73,22,32
dire,4,67,14,22,7,21,58,68,31,35
dire,21,54,27,11,9,61,32,7,6,63
radiant,53,55,27,73,4,7,34,61,9,31
dire,1,50,31,54,9,22,14,21,37,67
radiant,27,16,69,52,1,30,8,2,9,50
dire,35,39,16,5,19,22,59,1,6,29
radiant,22,41,27,23,63,9,7,68,53,14
dire,9,25,32,54,17,59,6,57,64,15
dire,32,7,67,22,5,59,6,25,63,28
dire,5,8,36,63,14,17,68,60,58,1
dire,42,14,67,10,22,6,32,5,20,59
radiant,14,21,45,22,61,8,7,9,2,13
radiant,2,41,49,57,36,19,30,32,5,8
radiant,2,36,42,8,54,5,14,7,15,9
radiant,57,7,34,15,54,17,9,32,21,22
radiant,22,1,40,63,35,50,59,18,42,32
dire,20,41,1,22,25,35,38,6,26,19
radiant,35,7,27,8,9,37,57,1,18,53
radiant,53,41,49,1,5,6,21,47,20,14
radiant,58,64,41,26,42,5,47,53,50,63
radiant,13,4,16,67,11,14,54,47,59,31
radiant,19,32,59,45,31,28,47,21,4,23
dire,57,35,31,59,68,42,63,27,54,40
radiant,28,7,54,26,11,14,35,18,21,32
dire,22,29,31,9,11,54,45,68,33,23
dire,30,6,57,54,4,22,45,51,21,55
dire,38,33,29,58,8,5,32,60,50,19
dire,6,10,55,50,35,16,67,34,7,21
dire,47,65,2,54,21,20,59,63,38,13
dire,68,60,8,57,5,14,19,32,25,39
radiant,64,8,45,49,59,68,32,73,9,40
dire,35,32,40,19,8,63,41,54,22,50
radiant,40,68,14,7,35,49,51,39,32,16
radiant,18,31,21,8,47,49,6,14,35,64
radiant,42,2,32,38,23,4,66,54,35,28
dire,20,52,41,30,49,16,9,7,32,47
dire,40,35,22,34,33,19,21,45,6,49
dire,28,21,54,20,7,32,63,39,1,52
radiant,14,26,27,41,32,11,16,8,60,4
radiant,63,6,23,65,41,68,67,21,32,69
radiant,21,1,22,18,40,14,50,25,54,9
radiant,14,39,53,66,21,9,54,59,63,5
dire,54,36,11,6,49,19,30,73,63,17
radiant,69,41,16,27,59,2,14,40,58,4
radiant,4,47,59,5,50,63,54,29,9,53
radiant,42,57,52,4,6,49,31,7,14,25
radiant,51,14,21,19,32,18,54,47,13,1
dire,25,6,14,8,69,59,63,42,32,34
dire,69,68,13,32,41,14,53,27,61,21
radiant,33,58,68,6,54,1,63,16,53,20
radiant,30,60,20,1,59,39,57,14,68,41
radiant,35,31,4,19,38,18,60,13,6,23
dire,17,7,54,30,9,45,8,41,31,19
dire,41,53,20,14,68,35,9,23,45,54
dire,2,26,29,20,21,14,34,73,32,47
radiant,9,59,63,31,vse dela,18,54,27,7,10
dire,54,28,31,1,63,58,16,29,45,4
radiant,73,7,15,17,20,68,4,30,49,27
dire,6,35,22,38,54,25,2,63,49,28
radiant,1,16,19,14,7,41,50,39,18,9
dire,34,36,29,31,1,7,17,32,53,8
dire,34,36,29,31,1,7,17,32,53,8
radiant,14,19,26,20,42,50,6,64,18,32
dire,29,22,35,45,41,8,14,31,10,68
dire,20,67,66,16,22,68,6,27,39,17
dire,34,4,29,47,23,9,14,21,59,52
dire,31,29,60,57,1,41,33,4,6,7
dire,21,59,4,22,69,2,63,55,14,31
radiant,41,57,23,14,7,11,37,28,59,53
dire,14,32,50,1,51,17,42,4,53,34
dire,41,29,60,16,25,49,26,32,2,8
radiant,40,14,61,6,58,67,53,35,39,7
radiant,49,34,58,41,18,54,59,64,35,23
dire,47,21,1,66,36,35,28,14,13,49
dire,41,54,35,6,1,49,7,61,25,67
dire,31,29,60,57,1,41,33,4,6,7
dire,60,63,11,34,7,69,17,65,22,8
dire,67,16,60,42,39,1,2,35,18,26
dire,31,29,60,57,1,41,33,4,6,7
dire,61,20,31,60,14,35,73,5,34,9
dire,23,49,30,35,28,6,14,42,39,16
radiant,19,67,9,30,35,61,21,2,14,39
radiant,67,30,42,52,10,41,22,35,21,28
dire,1,60,9,37,66,27,13,64,73,53
radiant,6,9,57,29,7,60,14,32,8,37
dire,41,21,65,9,68,53,1,42,63,25
radiant,14,25,19,32,26,7,53,40,9,6
radiant,16,30,28,6,23,60,69,9,36,14
radiant,16,30,28,6,23,60,69,9,36,14
radiant,16,30,28,6,23,60,69,9,36,14
radiant,53,27,60,15,49,59,58,1,50,67
dire,6,10,40,1,38,22,54,18,20,73
radiant,32,54,41,19,59,20,7,14,6,69
radiant,32,19,63,21,14,1,59,11,28,61
dire,1,25,67,45,58,13,60,63,19,17
dire,47,32,5,20,16,21,53,6,51,36
dire,10,28,69,34,59,11,4,68,39,57
dire,32,1,19,64,21,54,25,23,4,14
dire,60,9,16,28,67,10,8,14,66,54
dire,50,49,32,28,37,59,53,14,11,19
radiant,16,9,15,60,29,59,54,5,18,35
dire,57,33,14,22,4,16,21,61,63,51
radiant,54,17,13,9,21,59,47,14,8,53
dire,9,4,17,40,63,34,28,42,59,6
radiant,14,33,54,52,41,63,40,35,60,36
radiant,54,14,20,57,39,35,10,58,7,33
radiant,9,60,68,31,47,53,6,38,55,7
radiant,41,32,35,18,34,9,10,63,19,59
dire,7,5,68,1,20,14,11,36,73,6
radiant,1,6,23,42,67,9,25,18,16,30
dire,36,67,18,30,21,17,19,49,35,27
dire,23,5,67,20,18,55,47,9,30,59
radiant,63,1,54,59,35,14,73,2,30,61
radiant,58,14,47,8,31,68,51,6,9,54
dire,54,15,52,61,40,2,11,45,19,25
radiant,5,73,15,31,69,27,58,26,7,36
dire,67,4,21,40,49,73,6,35,32,60
dire,8,63,60,16,30,47,18,5,15,2
dire,26,32,29,59,47,58,4,31,21,9
radiant,64,15,69,14,20,1,23,51,31,42
radiant,60,32,52,14,30,19,8,40,1,34
radiant,34,55,49,14,57,54,63,32,40,30
radiant,32,16,58,9,1,7,41,14,19,21
dire,33,63,8,29,28,21,60,41,27,13
radiant,9,16,39,22,35,31,41,34,23,5
radiant,4,18,29,54,22,36,16,63,33,9
radiant,67,35,26,47,49,28,64,36,57,53
dire,31,14,21,51,36,9,5,60,64,32
radiant,54,60,9,18,51,61,37,8,53,45
radiant,16,9,57,21,19,35,39,7,32,59
dire,14,47,68,54,37,26,73,53,1,21
radiant,1,38,73,21,68,27,54,32,35,57
dire,37,18,11,31,16,29,47,61,21,54
dire,6,23,8,49,20,58,27,5,63,9
radiant,8,69,58,61,50,63,53,20,54,6
radiant,8,69,58,61,50,63,53,20,54,6
